proyecto_id;organizacion_id;persona_id;financiadora;ejecutora;evaluadora;adoptante;beneficiaria;adquiriente;porcentaje_financiamiento
18718;64;;Y;N;Y;N;N;N;1.00
18718;6354;;N;Y;N;N;N;N;
18719;64;;Y;N;Y;N;N;N;1.00
18719;6354;;N;Y;N;N;N;N;
18720;64;;Y;N;Y;N;N;N;1.00
18720;82;;N;Y;N;N;N;N;
18722;64;;Y;N;Y;N;N;N;1.00
18722;83;;N;Y;N;N;N;N;
18723;7064;;N;Y;N;N;N;N;
18723;64;;Y;N;Y;N;N;N;1.00
18724;64;;Y;N;Y;N;N;N;1.00
18724;10906;;N;Y;N;N;N;N;
18725;64;;Y;N;Y;N;N;N;1.00
18725;10906;;N;Y;N;N;N;N;
18726;64;;Y;N;Y;N;N;N;1.00
18726;10906;;N;Y;N;N;N;N;
18728;64;;Y;N;Y;N;N;N;1.00
18728;87;;N;Y;N;N;N;N;
18729;64;;Y;N;Y;N;N;N;1.00
18729;78;;N;Y;N;N;N;N;
18730;64;;Y;N;Y;N;N;N;1.00
18730;77;;N;Y;N;N;N;N;
18732;64;;Y;N;Y;N;N;N;1.00
18732;1793;;N;Y;N;N;N;N;
18733;3312;;N;Y;N;N;N;N;
18733;64;;Y;N;Y;N;N;N;1.00
18734;64;;Y;N;Y;N;N;N;1.00
18734;1793;;N;Y;N;N;N;N;
18735;64;;Y;N;Y;N;N;N;1.00
18735;1793;;N;Y;N;N;N;N;
18737;64;;Y;N;Y;N;N;N;1.00
18737;1793;;N;Y;N;N;N;N;
18738;64;;Y;N;Y;N;N;N;1.00
18738;1793;;N;Y;N;N;N;N;
18740;64;;Y;N;Y;N;N;N;1.00
18740;1793;;N;Y;N;N;N;N;
18741;64;;Y;N;Y;N;N;N;1.00
18741;88;;N;Y;N;N;N;N;
18742;64;;Y;N;Y;N;N;N;1.00
18742;87;;N;Y;N;N;N;N;
18744;1793;;N;Y;N;N;N;N;
18744;64;;Y;N;Y;N;N;N;1.00
18745;64;;Y;N;Y;N;N;N;1.00
18745;1793;;N;Y;N;N;N;N;
18746;64;;Y;N;Y;N;N;N;1.00
18746;82;;N;Y;N;N;N;N;
18749;64;;Y;N;Y;N;N;N;1.00
18749;78;;N;Y;N;N;N;N;
18750;64;;Y;N;Y;N;N;N;1.00
18750;79;;N;Y;N;N;N;N;
18751;64;;Y;N;Y;N;N;N;1.00
18751;82;;N;Y;N;N;N;N;
18753;64;;Y;N;Y;N;N;N;1.00
18753;82;;N;Y;N;N;N;N;
18754;64;;Y;N;Y;N;N;N;1.00
18754;78;;N;Y;N;N;N;N;
18756;5789;;N;Y;N;N;N;N;
18756;64;;Y;N;Y;N;N;N;1.00
18757;64;;Y;N;Y;N;N;N;1.00
18757;84;;N;Y;N;N;N;N;
18758;64;;Y;N;Y;N;N;N;1.00
18758;66;;N;Y;N;N;N;N;
18759;64;;Y;N;Y;N;N;N;1.00
18759;70;;N;Y;N;N;N;N;
18762;64;;Y;N;Y;N;N;N;1.00
18762;80;;N;Y;N;N;N;N;
18763;64;;Y;N;Y;N;N;N;1.00
18763;10896;;N;Y;N;N;N;N;
18765;64;;Y;N;Y;N;N;N;1.00
18765;7064;;N;Y;N;N;N;N;
18766;64;;Y;N;Y;N;N;N;1.00
18766;7064;;N;Y;N;N;N;N;
18767;79;;N;Y;N;N;N;N;
18767;64;;Y;N;Y;N;N;N;1.00
18769;64;;Y;N;Y;N;N;N;1.00
18769;6354;;N;Y;N;N;N;N;
18770;64;;Y;N;Y;N;N;N;1.00
18770;79;;N;Y;N;N;N;N;
18771;64;;Y;N;Y;N;N;N;1.00
18771;1793;;N;Y;N;N;N;N;
18772;64;;Y;N;Y;N;N;N;1.00
18772;84;;N;Y;N;N;N;N;
18773;64;;Y;N;Y;N;N;N;1.00
18773;88;;N;Y;N;N;N;N;
18775;64;;Y;N;Y;N;N;N;1.00
18775;1793;;N;Y;N;N;N;N;
18776;64;;Y;N;Y;N;N;N;1.00
18776;1793;;N;Y;N;N;N;N;
18777;10965;;N;Y;N;N;N;N;
18777;64;;Y;N;Y;N;N;N;1.00
18778;64;;Y;N;Y;N;N;N;1.00
18778;1793;;N;Y;N;N;N;N;
18780;64;;Y;N;Y;N;N;N;1.00
18780;87;;N;Y;N;N;N;N;
18781;64;;Y;N;Y;N;N;N;1.00
18781;89;;N;Y;N;N;N;N;
18782;64;;Y;N;Y;N;N;N;1.00
18782;82;;N;Y;N;N;N;N;
18783;64;;Y;N;Y;N;N;N;1.00
18783;79;;N;Y;N;N;N;N;
18784;64;;Y;N;Y;N;N;N;1.00
18784;87;;N;Y;N;N;N;N;
18785;64;;Y;N;Y;N;N;N;1.00
18785;87;;N;Y;N;N;N;N;
18786;87;;N;Y;N;N;N;N;
18786;64;;Y;N;Y;N;N;N;1.00
18788;64;;Y;N;Y;N;N;N;1.00
18788;87;;N;Y;N;N;N;N;
18789;64;;Y;N;Y;N;N;N;1.00
18789;3641;;N;Y;N;N;N;N;
18790;64;;Y;N;Y;N;N;N;1.00
18790;4096;;N;Y;N;N;N;N;
18791;64;;Y;N;Y;N;N;N;1.00
18791;66;;N;Y;N;N;N;N;
18792;64;;Y;N;Y;N;N;N;1.00
18792;4096;;N;Y;N;N;N;N;
18793;64;;Y;N;Y;N;N;N;1.00
18793;70;;N;Y;N;N;N;N;
18795;64;;Y;N;Y;N;N;N;1.00
18795;72;;N;Y;N;N;N;N;
18796;3312;;N;Y;N;N;N;N;
18796;64;;Y;N;Y;N;N;N;1.00
18798;64;;Y;N;Y;N;N;N;1.00
18798;4096;;N;Y;N;N;N;N;
18799;64;;Y;N;Y;N;N;N;1.00
18799;4096;;N;Y;N;N;N;N;
18800;64;;Y;N;Y;N;N;N;1.00
18800;4096;;N;Y;N;N;N;N;
18802;64;;Y;N;Y;N;N;N;1.00
18802;86;;N;Y;N;N;N;N;
18803;64;;Y;N;Y;N;N;N;1.00
18803;4096;;N;Y;N;N;N;N;
18804;64;;Y;N;Y;N;N;N;1.00
18804;4713;;N;Y;N;N;N;N;
18806;64;;Y;N;Y;N;N;N;1.00
18806;7064;;N;Y;N;N;N;N;
18807;7064;;N;Y;N;N;N;N;
18807;64;;Y;N;Y;N;N;N;1.00
18808;64;;Y;N;Y;N;N;N;1.00
18808;79;;N;Y;N;N;N;N;
18809;64;;Y;N;Y;N;N;N;1.00
18809;82;;N;Y;N;N;N;N;
18810;64;;Y;N;Y;N;N;N;1.00
18810;80;;N;Y;N;N;N;N;
18813;64;;Y;N;Y;N;N;N;1.00
18813;3641;;N;Y;N;N;N;N;
18814;64;;Y;N;Y;N;N;N;1.00
18814;89;;N;Y;N;N;N;N;
18815;64;;Y;N;Y;N;N;N;1.00
18815;3641;;N;Y;N;N;N;N;
18817;64;;Y;N;Y;N;N;N;1.00
18817;3641;;N;Y;N;N;N;N;
18818;82;;N;Y;N;N;N;N;
18818;64;;Y;N;Y;N;N;N;1.00
18820;64;;Y;N;Y;N;N;N;1.00
18820;82;;N;Y;N;N;N;N;
18821;64;;Y;N;Y;N;N;N;1.00
18821;77;;N;Y;N;N;N;N;
18822;64;;Y;N;Y;N;N;N;1.00
18822;4767;;N;Y;N;N;N;N;
18823;64;;Y;N;Y;N;N;N;1.00
18823;82;;N;Y;N;N;N;N;
18824;64;;Y;N;Y;N;N;N;1.00
18824;84;;N;Y;N;N;N;N;
18825;64;;Y;N;Y;N;N;N;1.00
18825;3641;;N;Y;N;N;N;N;
18826;64;;Y;N;Y;N;N;N;1.00
18826;82;;N;Y;N;N;N;N;
18827;82;;N;Y;N;N;N;N;
18827;64;;Y;N;Y;N;N;N;1.00
18828;64;;Y;N;Y;N;N;N;1.00
18828;71;;N;Y;N;N;N;N;
18830;64;;Y;N;Y;N;N;N;1.00
18830;2067;;N;Y;N;N;N;N;
18831;64;;Y;N;Y;N;N;N;1.00
18831;6354;;N;Y;N;N;N;N;
18833;64;;Y;N;Y;N;N;N;1.00
18833;2067;;N;Y;N;N;N;N;
18834;64;;Y;N;Y;N;N;N;1.00
18834;9835;;N;Y;N;N;N;N;
18835;64;;Y;N;Y;N;N;N;1.00
18835;2067;;N;Y;N;N;N;N;
18836;64;;Y;N;Y;N;N;N;1.00
18836;65;;N;Y;N;N;N;N;
18837;65;;N;Y;N;N;N;N;
18837;64;;Y;N;Y;N;N;N;1.00
18838;64;;Y;N;Y;N;N;N;1.00
18838;66;;N;Y;N;N;N;N;
18839;64;;Y;N;Y;N;N;N;1.00
18839;66;;N;Y;N;N;N;N;
18840;64;;Y;N;Y;N;N;N;1.00
18840;65;;N;Y;N;N;N;N;
18841;64;;Y;N;Y;N;N;N;1.00
18841;66;;N;Y;N;N;N;N;
18842;64;;Y;N;Y;N;N;N;1.00
18842;6354;;N;Y;N;N;N;N;
18843;64;;Y;N;Y;N;N;N;1.00
18843;10917;;N;Y;N;N;N;N;
18844;64;;Y;N;Y;N;N;N;1.00
18844;10908;;N;Y;N;N;N;N;
18845;10917;;N;Y;N;N;N;N;
18845;64;;Y;N;Y;N;N;N;1.00
18846;64;;Y;N;Y;N;N;N;1.00
18846;6354;;N;Y;N;N;N;N;
18847;64;;Y;N;Y;N;N;N;1.00
18847;6354;;N;Y;N;N;N;N;
18848;64;;Y;N;Y;N;N;N;1.00
18848;6354;;N;Y;N;N;N;N;
18849;64;;Y;N;Y;N;N;N;1.00
18849;6354;;N;Y;N;N;N;N;
18850;64;;Y;N;Y;N;N;N;1.00
18850;10887;;N;Y;N;N;N;N;
18851;64;;Y;N;Y;N;N;N;1.00
18851;4767;;N;Y;N;N;N;N;
18852;64;;Y;N;Y;N;N;N;1.00
18852;67;;N;Y;N;N;N;N;
18853;10918;;N;Y;N;N;N;N;
18853;64;;Y;N;Y;N;N;N;1.00
18854;64;;Y;N;Y;N;N;N;1.00
18854;67;;N;Y;N;N;N;N;
18855;64;;Y;N;Y;N;N;N;1.00
18855;80;;N;Y;N;N;N;N;
18856;64;;Y;N;Y;N;N;N;1.00
18856;10918;;N;Y;N;N;N;N;
18857;64;;Y;N;Y;N;N;N;1.00
18857;9660;;N;Y;N;N;N;N;
18858;64;;Y;N;Y;N;N;N;1.00
18858;10902;;N;Y;N;N;N;N;
18859;64;;Y;N;Y;N;N;N;1.00
18859;9660;;N;Y;N;N;N;N;
18860;64;;Y;N;Y;N;N;N;1.00
18860;9645;;N;Y;N;N;N;N;
18861;6274;;N;Y;N;N;N;N;
18861;64;;Y;N;Y;N;N;N;1.00
18862;64;;Y;N;Y;N;N;N;1.00
18862;9645;;N;Y;N;N;N;N;
18863;64;;Y;N;Y;N;N;N;1.00
18863;6364;;N;Y;N;N;N;N;
18864;64;;Y;N;Y;N;N;N;1.00
18864;6364;;N;Y;N;N;N;N;
18865;64;;Y;N;Y;N;N;N;1.00
18865;6274;;N;Y;N;N;N;N;
18866;64;;Y;N;Y;N;N;N;1.00
18866;6274;;N;Y;N;N;N;N;
18867;64;;Y;N;Y;N;N;N;1.00
18867;5714;;N;Y;N;N;N;N;
18868;64;;Y;N;Y;N;N;N;1.00
18868;75;;N;Y;N;N;N;N;
18869;73;;N;Y;N;N;N;N;
18869;64;;Y;N;Y;N;N;N;1.00
18870;64;;Y;N;Y;N;N;N;1.00
18870;74;;N;Y;N;N;N;N;
18871;64;;Y;N;Y;N;N;N;1.00
18871;76;;N;Y;N;N;N;N;
18872;64;;Y;N;Y;N;N;N;1.00
18872;73;;N;Y;N;N;N;N;
18873;64;;Y;N;Y;N;N;N;1.00
18873;71;;N;Y;N;N;N;N;
18874;64;;Y;N;Y;N;N;N;1.00
18874;69;;N;Y;N;N;N;N;
18875;64;;Y;N;Y;N;N;N;1.00
18875;71;;N;Y;N;N;N;N;
18876;64;;Y;N;Y;N;N;N;1.00
18876;69;;N;Y;N;N;N;N;
18877;70;;N;Y;N;N;N;N;
18877;64;;Y;N;Y;N;N;N;1.00
18878;64;;Y;N;Y;N;N;N;1.00
18878;77;;N;Y;N;N;N;N;
18879;64;;Y;N;Y;N;N;N;1.00
18879;77;;N;Y;N;N;N;N;
18880;64;;Y;N;Y;N;N;N;1.00
18880;77;;N;Y;N;N;N;N;
18881;64;;Y;N;Y;N;N;N;1.00
18881;77;;N;Y;N;N;N;N;
18882;64;;Y;N;Y;N;N;N;1.00
18882;78;;N;Y;N;N;N;N;
18883;64;;Y;N;Y;N;N;N;1.00
18883;78;;N;Y;N;N;N;N;
18884;64;;Y;N;Y;N;N;N;1.00
18884;78;;N;Y;N;N;N;N;
18885;78;;N;Y;N;N;N;N;
18885;64;;Y;N;Y;N;N;N;1.00
18886;64;;Y;N;Y;N;N;N;1.00
18886;5019;;N;Y;N;N;N;N;
18887;64;;Y;N;Y;N;N;N;1.00
18887;72;;N;Y;N;N;N;N;
18888;64;;Y;N;Y;N;N;N;1.00
18888;10895;;N;Y;N;N;N;N;
18889;64;;Y;N;Y;N;N;N;1.00
18889;10895;;N;Y;N;N;N;N;
18890;64;;Y;N;Y;N;N;N;1.00
