organizacion_id;tipo_institucion_id;nivel;estado_organizacion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion
10139;75;2;3;00322;10139;;;;;UNIVERSIDAD NACIONAL DE JUJUY;UNIDAD EJECUTORA EN CIENCIAS SOCIALES REGIONALES Y HUMANIDADES;;;;
10139;73;3;3;00587;07844;10139;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET  SALTA-JUJUY;UNIDAD EJECUTORA EN CIENCIAS SOCIALES REGIONALES Y HUMANIDADES;;;
10194;75;2;3;06003;10194;;;;;UNIVERSIDAD NACIONAL DE RIO NEGRO;INSTITUTO DE INVESTIGACION EN PALEOBIOLOGIA Y GEOLOGIA;;;;
10194;73;3;3;00587;16482;10194;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - PATAGONIA CONFLUENCIA;INSTITUTO DE INVESTIGACION EN PALEOBIOLOGIA Y GEOLOGIA;;;
10195;75;2;3;00523;10195;;;;;UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;INSTITUTO DE BIONANOTECNOLOGIA DEL NOA;;;;
10195;73;3;3;00587;04911;10195;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET NOA SUR;INSTITUTO DE BIONANOTECNOLOGIA DEL NOA;;;
10349;73;2;3;00636;10349;;;;;COMISION DE INVESTIGACIONES CIENTIFICAS DE LA PROVINCIA DE BUENOS AIRES;GRUPO DE INVESTIGACION EN MULTIFISICA APLICADA;;;;
10349;75;3;3;00575;00577;10349;;;;UNIVERSIDAD TECNOLOGICA NACIONAL;FACULTAD REGIONAL BAHIA BLANCA;GRUPO DE INVESTIGACION EN MULTIFISICA APLICADA;;;
10352;74;2;3;00007;10352;;;;;GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES;INSTITUTO MULTIDISCIPLINARIO DE INVESTIGACIONES EN PATOLOGIAS PEDIATRICAS;;;;
10352;73;3;3;00587;08208;10352;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;INSTITUTO MULTIDISCIPLINARIO DE INVESTIGACIONES EN PATOLOGIAS PEDIATRICAS;;;
10357;75;2;3;08453;10357;;;;;UNIVERSIDAD NACIONAL ARTURO JAURETCHE;UNIDAD EJECUTORA DE ESTUDIOS EN NEUROCIENCIAS Y SISTEMAS COMPLEJOS;;;;
10357;73;3;3;00587;04912;10357;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - LA PLATA;UNIDAD EJECUTORA DE ESTUDIOS EN NEUROCIENCIAS Y SISTEMAS COMPLEJOS;;;
10365;73;2;3;00636;10365;;;;;COMISION DE INVESTIGACIONES CIENTIFICAS DE LA PROVINCIA DE BUENOS AIRES;CENTRO DE TECNICAS ANALOGICO DIGITALES;;;;
10365;75;3;3;00339;00345;10365;;;;UNIVERSIDAD NACIONAL DE LA PLATA;FACULTAD DE INGENIERIA;CENTRO DE TECNICAS ANALOGICO DIGITALES;;;
10385;75;4;3;00417;00420;09676;10385;;;UNIVERSIDAD NACIONAL DE MISIONES;FACULTAD DE HUMANIDADES Y CS.SOCIALES;INSTITUTO  DE ESTUDIOS SOCIALES Y HUMANOS;GRUPO VINCULADO INSTITUTO DE INVESTIGACIONES LINGUISTICAS;;
10385;73;4;3;00587;06293;09676;10385;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - NORDESTE;INSTITUTO  DE ESTUDIOS SOCIALES Y HUMANOS;GRUPO VINCULADO INSTITUTO DE INVESTIGACIONES LINGUISTICAS;;
10386;75;4;6;00101;00117;04888;10386;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE INGENIERIA;"INSTITUTO DE TECNOLOGIAS Y CIENCIAS DE LA INGENIERIA ""HILARIO FERNANDEZ LONG""";SUBSEDE TANDANOR;;
10386;73;4;6;00587;08208;04888;10386;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;"INSTITUTO DE TECNOLOGIAS Y CIENCIAS DE LA INGENIERIA ""HILARIO FERNANDEZ LONG""";SUBSEDE TANDANOR;;
10387;73;4;3;00587;08209;07205;10387;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA PQUE. CENTENARIO;INSTITUTO DE TECNOLOGIA EN DETECCION Y ASTROPARTICULAS;SUBSEDE INSTITUTO DE TECNOLOGIA EN DETECCION Y ASTROPARTICULAS-UNSAM;;
