producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
55207;5;07184867;;43;64;PERSPECTIVAS DE LA COMUNICACIÓN;07;01;;;UNIVERSIDAD DE LA FRONTERA;NO INDEXADO
55208;1;18524680;;;;ËA JOURNAL;;;;;ISO-CYTE - INSTITUTO DE ESTUDIOS EN SALUD, SOCIEDAD, CIENCIA Y TECNOLOGÍA;NO INDEXADO
55209;1;2314-3924;;;;HIPERTEXTOS;;;;;FACULTAD DE CIENCIAS SOCIALES DE LA UNIVERSIDAD DE BUENOS AIRES;NO INDEXADO
55212;1;23141492;;139;144;CUESTIONES DE POBLACIÓN Y SOCIEDAD;4;III;;;CENTRO DE ESTUDIOS DE POBLACIÓN Y DESARROLLO (CEPYD);NO INDEXADO
55213;41;11251743;;29;56;LETTERATURE D4AMERICA;;148;;;LA SAPIENZA, FACOLTA DI SCIENZE UMINISTICHE;NO INDEXADO
55214;1;16698991;;;;REVISTA MEDICA UNIVERSITARIA;10;1;;;UNIVERSIDAD NACIONAL DE CUYO ;NO INDEXADO
55215;1;16680030;;205;226;REVISTA CTS;9;25;;;OEI REDES AECYD UNIVERSIDAD SALAMANCA;NO INDEXADO
55216;1;16669606;;;;E-L@TINA;12;47;;;UNIDAD DE DOCENCIA E INVESTIGACIONES SOCIOHISTÓRICAS DE AMÉRICA LATINA, INSTITUTO DE INVESTIGACIONES GINO GERMANI, FACULTAD DE CIENCIAS SOCIALES, UNIVERSIDAD DE BUENOS AIRES;NO INDEXADO
55217;1;23624299;;73;91;REVISTA DE LA FACULTAD. ESTUDIOS SOCIALES;19;;;;PUBLIFADECS;NO INDEXADO
55218;1;;;28;51;CLEPSIDRA. REVISTA INTERDISCIPLINARIA DE ESTUDIOS SOBRE MEMORIA;1;1;;;CAICYT/CONICET;NO INDEXADO
55219;33;0772652X;;114;120;BULLETIN TRIMESTRIEL DE LA FONDATION AUSCHWITZ;118;;;;KIMÉ;NO INDEXADO
55220;37;;;1;22;NUEVO MUNDO. MUNDOS NUEVOS;;;;;ECOLE DE HAUTES ETUDES EN SCIENCES SOCIALES;NO INDEXADO
55222;1;1669726X;;1;27;TEFROS;1;10;;;FACULTAD DE HUMANIDADES. UNIVERSIDAD NACIONAL DE RIO CUARTO;NO INDEXADO
55223;1;;;20;37;CON X;1;1;;;FPYCS UNLP;NO INDEXADO
55224;1;18514464;;;;APORTES 10 UNIVERSIDAD NACIONAL DE CATAMARCA - SECRETARÍA DE CIENCIA Y TECNOLOGÍA EDITORIAL CIENTÍFICA UNIVERSITARIA;;;;;EDITORIAL CIENTÍFICA UNIVERSITARIA;NO INDEXADO
55225;7;01889273;;251;278;TRAMAS;;41;;;UNIVERSIDAD AUTÓNOMA METROPOLITANA, UNIDAD XOCHIMILCO;NO INDEXADO
55226;1;16697006;;1;130;PERSPECTIVAS;;;;;CREATIVA ;NO INDEXADO
55227;570;03795136;;;;INDIAN JOURNAL OF MARINE SCIENCES;;;;;NATL INST SCIENCE COMMUNICATION;NO INDEXADO
55229;21;00134686;;160;167;ELECTROCHIMICA ACTA;140 ;;;;PERGAMON-ELSEVIER SCIENCE LTD;Q1
55230;1;16666070;;1711;1719;MECANICA COMPUTACIONAL;33;;;;AMCA;NO INDEXADO
55231;1;0327-9545;;33;33;BIOCELL;38;;;;INST HISTOL EMBRIOL-CONICET;Q4
55232;1;0031-6598;;110;117;PETROTECNIA;6;;;;IAPG;NO INDEXADO
55233;7;11302887;;54;61;AMÃ©RICA LATINA HOY;;256;;;INSTITUTO NACIONAL ELECTORAL;Q2
