organizacion_id;tipo_institucion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion;sigla;nivel;tipo_entidad_privada_id;estado_organizacion_id;es_doble_dependencia
68;73;00064;01592;00068;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL CORDOBA;ESTACION EXPTAL.REG.AGROP.RAFAELA;;;;EERAR;3;;6;N
69;73;00064;01566;00069;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL SANTA FE;ESTACION EXPERIMENTAL AGROPECUARIA OLIVEROS;;;;EEA OLIVEROS;3;;3;N
70;73;00064;01566;00070;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL SANTA FE;ESTACION EXPERIMENTAL AGROPECUARIA RECONQUISTA;;;;EEA RECONQUISTA;3;;3;N
71;73;00064;01566;00071;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL SANTA FE;ESTACION EXPERIMENTAL AGROPECUARIA RAFAELA;;;;EEA RAFAELA;3;;3;N
72;73;00064;01597;00072;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL ENTRE RIOS;ESTACION EXPERIMENTAL AGROPECUARIA PARANA;;;;EEA PARANA;3;;3;N
73;73;00064;01596;00073;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL MENDOZA-SAN JUAN;ESTACION EXPERIMENTAL AGROPECUARIA MENDOZA;;;;EEA MENDOZA;3;;3;N
74;73;00064;01596;00074;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL MENDOZA-SAN JUAN;ESTACION EXPERIMENTAL AGROPECUARIA LA CONSULTA;;;;EEA LA CONSULTA;3;;3;N
75;73;00064;01596;00075;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL MENDOZA-SAN JUAN;ESTACION EXPERIMENTAL AGROPECUARIA RAMA CAIDA;;;;EEA RAMA CAIDA;3;;3;N
76;73;00064;01596;00076;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL MENDOZA-SAN JUAN;ESTACION EXPERIMENTAL AGROPECUARIA SAN JUAN;;;;EEA SAN JUAN;3;;3;N
77;73;00064;01592;00077;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL CORDOBA;ESTACION EXPERIMENTAL AGROPECUARIA MARCOS JUAREZ;;;;EEA MARCOS JUAREZ;3;;3;N
78;73;00064;01592;00078;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL CORDOBA;ESTACION EXPERIMENTAL AGROPECUARIA MANFREDI;;;;EEA MANFREDI;3;;3;N
79;73;00064;01591;00079;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL BUENOS AIRES NORTE;ESTACION EXPERIMENTAL AGROPECUARIA PERGAMINO;;;;EEA PERGAMINO;3;;3;N
80;73;00064;01593;00080;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL LA PAMPA-SAN LUIS;ESTACION EXPERIMENTAL AGROPECUARIA ANGUIL;;;;EEA ANGUIL;3;;3;N
81;73;00064;10896;00081;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL BUENOS AIRES SUR;ESTACION EXPERIMENTAL AGROPECUARIA BORDENAVE;;;;EEA BORDENAVE;3;;3;N
82;73;00064;10896;00082;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL BUENOS AIRES SUR;ESTACION EXPERIMENTAL AGROPECUARIA BALCARCE;;;;EEA BALCARCE;3;;3;N
83;73;00064;10896;00083;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL BUENOS AIRES SUR;ESTACION EXPERIMENTAL AGROPECUARIA HILARIO ASCASUBI;;;;EEA HILARIO ASCASUBI;3;;3;N
84;73;00064;01587;00084;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL PATAGONIA NORTE;ESTACION EXPERIMENTAL AGROPECUARIA SAN CARLOS DE BARILOCHE;;;;EEA BARILOCHE;3;;3;N
85;73;00064;00085;;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO NACIONAL DE INVESTIGACIONES AGROPECUARIAS;;;;;CNIA;2;;3;N
86;73;00064;00086;;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO DE INVESTIGACION DE RECURSOS NATURALES;;;;;CIRN;2;;3;N
87;73;00064;01909;00087;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO DE INVESTIGACION EN CIENCIAS VETERINARIAS Y AGRONOMICAS;INSTITUTO DE GENETICA;;;;IGEAF;3;;3;N
88;73;00064;01909;00088;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO DE INVESTIGACION EN CIENCIAS VETERINARIAS Y AGRONOMICAS;INSTITUTO DE MICROBIOLOGIA Y ZOOLOGIA AGRICOLA;;;;IMYZA;3;;3;N
89;73;00064;01909;00089;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO DE INVESTIGACION EN CIENCIAS VETERINARIAS Y AGRONOMICAS;INSTITUTO DE VIROLOGIA;;;;;3;;3;N
90;74;01956;00090;;;;;MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE;ADMINISTRACION DE PARQUES NACIONALES;;;;;ADM PN;2;;3;N
91;74;00003;00091;;;;;MINISTERIO DE HACIENDA;INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS;;;;;INDEC;2;;3;N
92;74;08066;00092;;;;;MINISTERIO DE DESARROLLO PRODUCTIVO;SECRETARIA DE INDUSTRIA Y MINERIA;;;;;;2;;3;N
93;73;00093;;;;;;INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL;;;;;;INTI;1;;3;N
94;73;00093;00094;;;;;INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL;DIRECCION NACIONAL DE DESARROLLOS;;;;;CITEPes;2;;3;N
95;73;00093;00095;;;;;INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL;CENTRO DE INV.Y ASISTENCIA TECNICA A LA INDUSTRIA;;;;;CIATI;2;;6;N
96;73;01779;00096;;;;;SERVICIO GEOLOGICO MINERO ARGENTINO;SUBSECRETARIA DE MINERIA;;;;;SEGEMAR;2;;6;N
97;73;00097;;;;;;INSTITUTO NACIONAL DE INVESTIGACION Y DESARROLLO PESQUERO;;;;;;INIDEP;1;;3;N
98;74;00004;00098;;;;;MINISTERIO DEL INTERIOR;SUBSECRETARIA GENERAL;;;;;;2;;3;N
99;74;00004;00098;00099;;;;MINISTERIO DEL INTERIOR;SUBSECRETARIA GENERAL;ARCHIVO GENERAL DE LA NACION;;;;;3;;3;N
100;74;00005;00100;;;;;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;COMISION NACIONAL DE LA CUENCA DEL PLATA;;;;;;2;;3;N
101;75;00101;;;;;;UNIVERSIDAD DE BUENOS AIRES;;;;;;UBA;1;;3;N
102;75;00101;00102;;;;;UNIVERSIDAD DE BUENOS AIRES;RECTORADO;;;;;;2;;3;N
103;75;00101;00103;;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;;;;;;2;;3;N
104;75;00101;00103;00104;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE RECURSOS NATURALES Y AMBIENTE;;;;;3;;3;N
105;75;00101;00103;00104;00105;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE RECURSOS NATURALES Y AMBIENTE;CATEDRA DE CLIMATOLOGIA Y FENOLOGIAS AGRICOLAS;;;;4;;3;N
106;75;00101;00103;00104;00106;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE RECURSOS NATURALES Y AMBIENTE;CATEDRA DE BOTANICA AGRICOLA;;;;4;;3;N
107;75;00101;00103;00107;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE ECONOMIA DESARROLLO Y PLANEAMIENTO AGRICOLA;;;;;3;;3;N
108;75;00101;00103;00108;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE PRODUCCION VEGETAL;;;;;3;;3;N
109;75;00101;00103;00108;00109;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE PRODUCCION VEGETAL;CATEDRA DE CEREALICULTURA;;;;4;;3;N
110;75;00101;00103;03606;00110;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE PRODUCCION ANIMAL;CATEDRA DE MEJORAMIENTO GENTICO ANIMAL;;;;4;;3;N
111;75;00101;00103;00111;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE QUIMICA;;;;;3;;6;N
112;75;00101;00103;00112;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE INGENIERIA AGRICOLA Y USO DE LA TIERRA;;;;;3;;3;N
113;75;00101;00103;00104;00113;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE AGRONOMIA;DEPARTAMENTO DE RECURSOS NATURALES Y AMBIENTE;CATEDRA DE EDAFOLOGIA;;;;4;;3;N
114;75;00101;00114;;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS VETERINARIAS;;;;;;2;;3;N
115;75;00101;00114;00115;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS VETERINARIAS;AREA DE QUIMICA BIOLOGICA;;;;;3;;3;N
116;75;00101;00116;;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE ARQUITECTURA DISEÑO Y URBANISMO;;;;;FADU;2;;3;N
117;75;00101;00117;;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE INGENIERIA;;;;;;2;;3;N
118;75;00101;00117;00118;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE INGENIERIA;DEPARTAMENTO DE FISICA;;;;;3;;3;N
119;75;00101;00117;00119;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE INGENIERIA;DEPARTAMENTO DE INGENIERIA QUIMICA;;;;;3;;3;N
120;75;00101;00117;00120;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE INGENIERIA;DEPARTAMENTO DE ELECTRONICA;;;;;3;;3;N
121;75;00101;00117;00121;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE INGENIERIA;INSTITUTO DE ING.BIOMEDICA;;;;;3;;3;N
122;75;00101;00122;;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;;;;;;2;;3;N
123;75;00101;00122;00123;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE INDUSTRIAS;;;;;3;;3;N
124;75;00101;00122;00124;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE GEOLOGIA;;;;;3;;3;N
125;75;00101;00122;00124;00125;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE GEOLOGIA;CATEDRA DE PETROGRAFIA;;;;4;;3;N
126;75;00101;00122;00124;00126;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE GEOLOGIA;GRUPO ID GEOMORFOLOGIA Y EOLOGIA MARINA;;;;4;;3;N
127;75;00101;00122;00124;00127;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE GEOLOGIA;"INSTITUTO DE GEOFISICA ""DANIEL VALENCIO""";;;;4;;3;N
128;75;00101;00122;00128;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE QUIMICA INORGANICA, ANALITICA Y QUIMICA FISICA;;;;;3;;3;N
129;75;00101;00122;00129;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;INSTITUTO DE CALCULO;;;;IC;3;;6;N
130;75;00101;00122;00130;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE MATEMATICA;;;;;3;;3;N
131;75;00101;00122;00131;;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE CS.BIOLOGICAS;;;;;3;;6;N
132;75;00101;00122;00131;00132;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE CS.BIOLOGICAS;LABORATORIO DE PLANCTOLOGIA;;;;4;;6;N
133;75;00101;00122;03434;00133;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE ECOLOGIA, GENETICA Y EVOLUCION;INTRODUCCION A LA ECOLOGIA EXPERIMENTAL;;;;4;;3;N
134;75;00101;00122;03434;00134;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE ECOLOGIA, GENETICA Y EVOLUCION;TAXONOMIA Y ECOLOGIA DE ALGAS DE ECO.CONTINENTALES;;;;4;;3;N
135;75;00101;00122;03434;00135;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE ECOLOGIA, GENETICA Y EVOLUCION;LABORATORIO DE PARASITOLOGIA;;;;4;;3;N
136;75;00101;00122;03396;00136;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE BIODIVERSIDAD Y BIOLOGIA EXPERIMENTAL;LABORATORIO DE EMBRIOLOGIA ANIMAL;;;;4;;3;N
137;75;00101;00122;03396;00137;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE BIODIVERSIDAD Y BIOLOGIA EXPERIMENTAL;LABORATORIO DE HISTOLOGIA ANIMAL;;;;4;;3;N
138;75;00101;00122;03434;00138;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE ECOLOGIA, GENETICA Y EVOLUCION;LABORATORIO DE PALEOBOTANICA;;;;4;;3;N
139;75;00101;00122;00131;00139;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE CS.BIOLOGICAS;LABORATORIO DE LIMNOLOGIA Y FICOLOGIA;;;;4;;6;N
